rank,name,family,power,expected_multiplicity,centre_exact,centre_float,radius_fraction_exact,radius_exact,radius_float,zero_outside_enclosed_region,count_method,moat_method,certificate_route,count_reference_matrix,schur_diagonal_algebraic_count,schur_diagonal_membership_certified,minimum_schur_diagonal_boundary_distance_lower,triangular_inverse_bound_upper,Q_condition_upper,surrogate_resolvent_bound_upper,surrogate_moat_lower,eta_schur_upper,A_N_circ_moat_lower,eta_A_upper,mathematical_finite_matrix_moat_lower,distance_to_zero_lower,lifted_finite_section_moat_lower,epsilon_upper,certified_small_gain_product_upper,finite_count_matches_expected,A_N_circ_count_transport_certified,mathematical_finite_count_transport_certified,finite_count_certified,certified_small_gain_pass,finite_to_exact_rank_transfer_certified,complete_circle_covered,sampled_values_used_in_theorem_gate,laurent_used_for_count,laurent_used_for_moat,theorem_certified,status
11,mu^3,mu,3,2,27/1000,0.027,1/5,124530721/128000000000,0.0009728962578125,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,2,True,0.0009728962577702909,66035433.61816664,1.0000000000000844,66035433.6181722,1.5143385076899248e-08,1.8946275047218605e-15,1.5143383182271744e-08,3.38762223735399e-154,1.5143383182271744e-08,0.026027103742187495,1.5143383182271744e-08,3.3264433839017435e-20,2.1966315874486932e-12,True,True,True,True,True,True,True,False,False,False,True,theorem_certified
12,alpha^9,alpha,9,1,10604499373/512000000000,0.020711912837890624,1/5,3219500627/2560000000000,0.001257617432421875,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,0.001257617432420783,101249191.74679555,1.0000000000000844,101249191.74680407,9.876622052457667e-09,1.8946275047218605e-15,9.876620157830163e-09,3.38762223735399e-154,9.876620157830163e-09,0.019454295405468745,9.876620157830163e-09,3.3264433839017435e-20,3.367997686196877e-12,True,True,True,True,True,True,True,False,False,False,True,theorem_certified
13,alpha^10,alpha,10,1,137858491849/10240000000000,0.013462743344628906,1/5,965009442943/1024000000000000,0.0009423920341240234,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,0.0009423920340482471,532934167.7664988,1.0000000000000844,532934167.7665436,1.8764043675241674e-09,1.8946275047218605e-15,1.8764024728966627e-09,3.38762223735399e-154,1.8764024728966627e-09,0.012520351310504881,1.8764024728966627e-09,3.3264433839017435e-20,1.772777126416064e-11,True,True,True,True,True,True,True,False,False,False,True,theorem_certified
14,alpha^11,alpha,11,1,1792160394037/204800000000000,0.00875078317400879,1/5,133280394037/1024000000000000,0.00013015663480175782,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,0.00013015663473533792,85734881213.88322,1.0000000000000844,85734881213.89044,1.1663864063743332e-11,1.8946275047218605e-15,1.1661969436238611e-11,3.38762223735399e-154,1.1661969436238611e-11,0.008620626539207029,1.1661969436238611e-11,3.3264433839017435e-20,2.8523856129866824e-09,True,True,True,True,True,True,True,False,False,False,True,theorem_certified
15,mu^4,mu,4,2,81/10000,0.0081,1/5,133280394037/1024000000000000,0.00013015663480175782,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,2,True,0.00013015663451640836,146800841132.68964,1.0000000000000844,146800841132.702,6.8119500697958585e-12,1.8946275047218605e-15,6.810055442291137e-12,3.38762223735399e-154,6.810055442291137e-12,0.00796984336519824,6.810055442291137e-12,3.3264433839017435e-20,4.884605436901719e-09,True,True,True,True,True,True,True,False,False,False,True,theorem_certified
16,alpha^12,alpha,12,1,23298085122481/4096000000000000,0.005688009063105713,1/5,163086595857367/409600000000000000,0.0003981606344173999,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,0.0003981606339196587,83204521468.1752,1.0000000000000844,83204521468.1822,1.2018577624803775e-11,1.8946275047218605e-15,1.2016682997299054e-11,3.38762223735399e-154,1.2016682997299054e-11,0.005289848428688312,1.2016682997299054e-11,3.3264433839017435e-20,2.7681876809510705e-09,True,True,True,True,True,True,True,False,False,False,True,theorem_certified
17,alpha^13,alpha,13,1,302875106592253/81920000000000000,0.0036972058910187135,1/5,103809506592253/409600000000000000,0.0002534411782037427,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,0.00025344117813346233,2558970784418.6445,1.0000000000000844,2558970784418.86,3.907821089982077e-13,1.8946275047218605e-15,3.888874814934859e-13,3.38762223735399e-154,3.888874814934859e-13,0.0034437647128149704,3.888874814934859e-13,3.3264433839017435e-20,8.553742514741923e-08,True,True,True,True,True,True,True,False,False,False,True,theorem_certified
18,mu^5,mu,5,2,243/100000,0.00243,1/4,43935614300711/6553600000000000000,6.704042709459076e-06,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,2,True,6.703987351469313e-06,2.2862902019350704e+16,1.0000000000000844,2.2862902019352628e+16,4.3738979380375066e-17,1.8946275047218605e-15,-1.8508885253414855e-15,3.38762223735399e-154,-1.8508885253414855e-15,0.0024232959572905405,-5e-324,3.3264433839017435e-20,inf,True,False,False,False,False,False,True,False,False,False,False,requires_laurent_fallback
19,alpha^14,alpha,14,1,3937376385699289/1638400000000000000,0.0024031838291621636,9/50,395420528706399/81920000000000000000,4.826910750810535e-06,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,4.826854464496671e-06,3.0566689793491484e+16,1.0000000000000844,3.0566689793494056e+16,3.271535147429815e-17,1.8946275047218605e-15,-1.8619121532475624e-15,3.38762223735399e-154,-1.8619121532475624e-15,0.0023983569184113525,-5e-324,3.3264433839017435e-20,inf,True,False,False,False,False,False,True,False,False,False,False,requires_laurent_fallback
20,alpha^15,alpha,15,1,51185893014090757/32768000000000000000,0.0015620694889554065,1/5,358301251098635299/3276800000000000000000,0.00010934486422687844,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,0.00010934486403927616,882811729534656.4,1.0000000000000844,882811729534730.6,1.1327443514225069e-15,1.8946275047218605e-15,-7.618831532993531e-16,3.38762223735399e-154,-7.618831532993531e-16,0.0014527246247285277,-5e-324,3.3264433839017435e-20,inf,True,False,False,False,False,False,True,False,False,False,False,requires_laurent_fallback
21,alpha^16,alpha,16,1,665416609183179841/655360000000000000000,0.0010153451678210142,1/5,187659169183179841/3276800000000000000000,5.726903356420283e-05,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,5.7269026095424795e-05,8807210814842102.0,1.0000000000000844,8807210814842843.0,1.1354332501212463e-16,1.8946275047218605e-15,-1.781084179709736e-15,3.38762223735399e-154,-1.781084179709736e-15,0.0009580761342568113,-5e-324,3.3264433839017435e-20,inf,True,False,False,False,False,False,True,False,False,False,False,requires_laurent_fallback
22,mu^6,mu,6,2,729/1000000,0.000729,1/4,904732880618662067/52428800000000000000000,1.7256410229085197e-05,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,2,True,1.725639336247916e-05,9.96945936629554e+16,1.0000000000000844,9.969459366296378e+16,1.0030634192468723e-17,1.8946275047218605e-15,-1.8845968705293916e-15,3.38762223735399e-154,-1.8845968705293916e-15,0.0007117435897709146,-5e-324,3.3264433839017435e-20,inf,True,False,False,False,False,False,True,False,False,False,False,requires_laurent_fallback
23,alpha^17,alpha,17,1,8650415919381337933/13107200000000000000000,0.0006599743590836592,1/4,904732880618662067/52428800000000000000000,1.7256410229085197e-05,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,1.7256388166018326e-05,9.389816646263686e+16,1.0000000000000844,9.389816646264477e+16,1.0649835216940333e-17,1.8946275047218605e-15,-1.8839776695049203e-15,3.38762223735399e-154,-1.8839776695049203e-15,0.0006427179488545739,-5e-324,3.3264433839017435e-20,inf,True,False,False,False,False,False,True,False,False,False,False,requires_laurent_fallback
24,alpha^18,alpha,18,1,112455406951957393129/262144000000000000000000,0.0004289833334043785,1/5,60552911435669365531/1310720000000000000000000,4.6198205135856144e-05,True,certified Schur-diagonal algebraic count,uniform complete-circle triangular Schur resolvent,Schur-count/Schur-moat,exact-binary upper-triangular Schur matrix T,1,True,4.6198187597736553e-05,5.95138053453667e+17,1.0000000000000844,5.951380534537171e+17,1.68028240539616e-18,1.8946275047218605e-15,-1.8929472223164642e-15,3.38762223735399e-154,-1.8929472223164642e-15,0.0003827851282685223,-5e-324,3.3264433839017435e-20,inf,True,False,False,False,False,False,True,False,False,False,False,requires_laurent_fallback
