target_rank,map_label,target_mode,N,M,map_name,name,family,power,multiplicity,target,target_float,target_real_float,target_imag_float,target_abs_float,error,error_float,selected,gram_error,gram_error_float
12,blaschke_mu_0p3,exact,100,100,blaschke_mu_0p3,alpha^9,alpha,9,1,0.020711912837890625,0.020711912837890624,0.020711912837890624,0.0,0.020711912837890624,1.38831060567213871231657746831263009071622161354762962904233833862751498013822395928504919e-46,1.3883106056721388e-46,['0.0207119128378906249999999999999999999999999998611689394327861287683422531687369909283778386'],4.44820095539165646459041712619704765666534375380351464978650878539080829922524278248266012e-177,4.4482009553916565e-177
13,blaschke_mu_0p3,exact,100,100,blaschke_mu_0p3,alpha^10,alpha,10,1,0.01346274334462890625,0.013462743344628906,0.013462743344628906,0.0,0.013462743344628906,3.08105201443218478274107472731414972298253350710986498461890163222304185656860202557925158e-44,3.081052014432185e-44,['0.0134627433446289062499999999999999999999999691894798556781521725892527268585027701746649289'],4.44820095539165646459041712619704765666534375380351464978650878539080829922524278248266012e-177,4.4482009553916565e-177
14,blaschke_mu_0p3,exact,100,100,blaschke_mu_0p3,alpha^11,alpha,11,1,0.0087507831740087890625,0.00875078317400879,0.00875078317400879,0.0,0.00875078317400879,7.17438159967367953180250525587101090916951343849648952397324040269154692462998920536544158e-43,7.1743815996736796e-43,['0.00875078317400878906249999999999999999999928256184003263204681974947441289890908304865615035'],4.44820095539165646459041712619704765666534375380351464978650878539080829922524278248266012e-177,4.4482009553916565e-177
15,blaschke_mu_0p3,exact,100,100,blaschke_mu_0p3,mu^4,mu,4,2,0.0081,0.0081,0.0081,0.0,0.0081,1.49733513919735622913519219032122008600567356231087285520154804260128414544182081277111459e-59,1.4973351391973563e-59,"['0.00810000000000000000000000000000000000000000000000000000000661985655018530142051625629000558', '0.0081000000000000000000000000000000000000000000000000000000149733513919735622913519219032122']",4.44820095539165646459041712619704765666534375380351464978650878539080829922524278248266012e-177,4.4482009553916565e-177
16,blaschke_mu_0p3,exact,100,100,blaschke_mu_0p3,alpha^12,alpha,12,1,0.005688009063105712890625,0.005688009063105713,0.005688009063105713,0.0,0.005688009063105713,4.89799780655571536992478646342012886820630394920025768718682807372545861567433026980119701e-41,4.897997806555716e-41,['0.00568800906310571289062499999999999999995102002193444284630075213536579871131793696050799742'],4.44820095539165646459041712619704765666534375380351464978650878539080829922524278248266012e-177,4.4482009553916565e-177
17,blaschke_mu_0p3,exact,100,100,blaschke_mu_0p3,alpha^13,alpha,13,1,0.00369720589101871337890625,0.0036972058910187135,0.0036972058910187135,0.0,0.0036972058910187135,9.32181203303796494976149149858093002920251359180154533970246485233622582526399321669231422e-40,9.321812033037965e-40,['0.00369720589101871337890624999999999999906781879669620350502385085014190699707974864081984547'],4.44820095539165646459041712619704765666534375380351464978650878539080829922524278248266012e-177,4.4482009553916565e-177
18,blaschke_mu_0p3,exact,100,100,blaschke_mu_0p3,mu^5,mu,5,2,0.00243,0.00243,0.00243,0.0,0.00243,6.61997064009753572279426647123857545099622018071541387593438406072720972472331149793164192e-46,6.619970640097536e-46,"['0.00243000000000000000000000000000000000000000000436223039729718717697766304670816725802484828', '0.00243000000000000000000000000000000000000000066199706400975357227942664712385754509962201807']",4.44820095539165646459041712619704765666534375380351464978650878539080829922524278248266012e-177,4.4482009553916565e-177
19,blaschke_mu_0p3,exact,100,100,blaschke_mu_0p3,alpha^14,alpha,14,1,0.0024031838291621636962890625,0.0024031838291621636,0.0024031838291621636,0.0,0.0024031838291621636,5.20974136595098954828398878436371462573300162930026417084695799544915175858617782115386858e-40,5.2097413659509895e-40,['0.00240318382916216369628906250000000000052097413659509895482839887843637146257330016293002642'],4.44820095539165646459041712619704765666534375380351464978650878539080829922524278248266012e-177,4.4482009553916565e-177
20,blaschke_mu_0p3,exact,100,100,blaschke_mu_0p3,alpha^15,alpha,15,1,0.001562069488955406402587890625,0.0015620694889554065,0.0015620694889554065,0.0,0.0015620694889554065,1.67086181543711865665175074895965188219769483968769439446099324713588699546997107202307254e-37,1.6708618154371187e-37,['0.00156206948895540640258789062499999983291381845628813433482492510403481178023051603123056055'],4.44820095539165646459041712619704765666534375380351464978650878539080829922524278248266012e-177,4.4482009553916565e-177
21,blaschke_mu_0p3,exact,100,100,blaschke_mu_0p3,alpha^16,alpha,16,1,0.00101534516782101416168212890625,0.0010153451678210142,0.0010153451678210142,0.0,0.0010153451678210142,3.77188317984946811303474940018557631513836773014681973405449359654126987221317057095979829e-35,3.771883179849468e-35,['0.00101534516782101416168212890625003771883179849468113034749400185576315138367730146819734054'],4.44820095539165646459041712619704765666534375380351464978650878539080829922524278248266012e-177,4.4482009553916565e-177
22,blaschke_mu_0p3,exact,100,100,blaschke_mu_0p3,mu^6,mu,6,2,0.000729,0.000729,0.000729,0.0,0.000729,2.61110152855133830588494519478698814978678879125157938585047638193562091639787401602972684e-37,2.6111015285513383e-37,"['0.000729000000000000000000000000000000137281024782343693662828353278327376089804995065637387433', '0.000728999999999999999999999999999999738889847144866169411505480521301185021321120874842061415']",4.44820095539165646459041712619704765666534375380351464978650878539080829922524278248266012e-177,4.4482009553916565e-177
23,blaschke_mu_0p3,exact,100,100,blaschke_mu_0p3,alpha^17,alpha,17,1,0.0006599743590836592050933837890625,0.0006599743590836592,0.0006599743590836592,0.0,0.0006599743590836592,2.8120345274642985415515736599890363779055965416210098029598254005545389224694833140587978e-34,2.8120345274642987e-34,['0.000659974359083659205093383789062781203452746429854155157365998903637790559654162100980295983'],4.44820095539165646459041712619704765666534375380351464978650878539080829922524278248266012e-177,4.4482009553916565e-177
24,blaschke_mu_0p3,exact,100,100,blaschke_mu_0p3,alpha^18,alpha,18,1,0.000428983333404378483310699462890625,0.0004289833334043785,0.0004289833334043785,0.0,0.0004289833334043785,2.28785675741636150903005912449739367195638921653437298820035083842344831748353322764684378e-32,2.2878567574163616e-32,['0.000428983333404378483310699462913503567574163615090300591244973936719563892165343729882003508'],4.44820095539165646459041712619704765666534375380351464978650878539080829922524278248266012e-177,4.4482009553916565e-177
