N,M,map_name,name,family,power,multiplicity,target,target_float,target_real_float,target_imag_float,target_abs_float,error,error_float,selected,gram_error,gram_error_float,m,is_reference_M,reference_error_at_max_M,excess_ratio_to_max_M,log10_excess_ratio_to_max_M
25,11,blaschke_mu_0p3,alpha^2,alpha,2,1,0.4225,0.4225,0.4225,0.0,0.4225,0.407510914676887787012766455484190582781335766272585199783095901977293585617061298777211443,0.40751091467688777,['0.0149890853231122129872335445158094172186642337274148002169040980227064143829387012227885565'],5.48806174249998399199000171896964571230165079047812683211236366903362687621437999116348959,5.488061742499984,-14,False,1.8022102324530408e-15,226117301599277.25,14.354333794108369
25,11,blaschke_mu_0p3,mu^1,mu,1,2,0.3,0.3,0.3,0.0,0.3,0.3,0.3,"['8.55511522750551874833048776643072808746855088238639087956847099164457735960387453008476136e-180', '3.66217208024283404576144359696892776501747666239084391881333581962200374617028374582489249e-180']",5.48806174249998399199000171896964571230165079047812683211236366903362687621437999116348959,5.488061742499984,-14,False,1.1724304465661102e-16,2558787183313597.0,15.408034166717199
25,11,blaschke_mu_0p3,alpha^3,alpha,3,1,0.274625,0.274625,0.274625,0.0,0.274625,0.274625,0.274625,['2.50476830900467119402745111486817602276508817884342086652301863059412964182367983858449243e-181'],5.48806174249998399199000171896964571230165079047812683211236366903362687621437999116348959,5.488061742499984,-14,False,8.057554706811674e-13,340829209347.8909,11.532536807089429
25,11,blaschke_mu_0p3,alpha^4,alpha,4,1,0.17850625,0.17850625,0.17850625,0.0,0.17850625,0.17850625,0.17850625,['1.78464250830876562270646752673599237769469357351208243326485519702279439731588332624224367e-181'],5.48806174249998399199000171896964571230165079047812683211236366903362687621437999116348959,5.488061742499984,-14,False,8.184178948885144e-12,21811137209.349052,10.338678309818478
25,11,blaschke_mu_0p3,alpha^5,alpha,5,1,0.1160290625,0.1160290625,0.1160290625,0.0,0.1160290625,0.1160290625,0.1160290625,['1.20105323067558648850692371532243531130541468437193222447888087978302387036451820162137218e-181'],5.48806174249998399199000171896964571230165079047812683211236366903362687621437999116348959,5.488061742499984,-14,False,6.62355497104339e-09,17517641.660294436,7.243475638198461
25,11,blaschke_mu_0p3,mu^2,mu,2,2,0.09,0.09,0.09,0.0,0.09,0.09,0.09,"['1.8545546629933105488794860974496789781973522334827082044877868584272002080565073961187222e-182', '-3.28116881084919323458497166898625074297162622668542349734082047035826816153553681441124765e-183']",5.48806174249998399199000171896964571230165079047812683211236366903362687621437999116348959,5.488061742499984,-14,False,2.1854527107602267e-07,411813.9896456181,5.6147010958582575
25,11,blaschke_mu_0p3,alpha^6,alpha,6,1,0.075418890625,0.075418890625,0.075418890625,0.0,0.075418890625,0.075418890625,0.075418890625,['-2.04170086127892162100197311210466934009863252572404052784098513725241671039510748865363792e-182'],5.48806174249998399199000171896964571230165079047812683211236366903362687621437999116348959,5.488061742499984,-14,False,4.790126681055497e-07,157446.54713052715,5.197133140815041
25,11,blaschke_mu_0p3,alpha^7,alpha,7,1,0.04902227890625,0.04902227890625,0.04902227890625,0.0,0.04902227890625,0.04902227890625,0.04902227890625,['-1.46894072326699763775902444800769457373404497916244930344142901187984652265757513072500848e-181'],5.48806174249998399199000171896964571230165079047812683211236366903362687621437999116348959,5.488061742499984,-14,False,9.815685335661921e-05,499.4279790952995,2.6984728688649944
25,11,blaschke_mu_0p3,alpha^8,alpha,8,1,0.0318644812890625,0.0318644812890625,0.0318644812890625,0.0,0.0318644812890625,0.0318644812890625,0.0318644812890625,['-1.87478642015693548017966130153686460244712962501166375736121254635892674613282357616739813e-181'],5.48806174249998399199000171896964571230165079047812683211236366903362687621437999116348959,5.488061742499984,-14,False,0.0015402777756643807,20.687490134899942,1.3157078040208434
25,11,blaschke_mu_0p3,mu^3,mu,3,2,0.027,0.027,0.027,0.0,0.027,0.027,0.027,"['-1.95409908853690027925966578757607313102439639747885981353860979856024126971806579437390565e-181', '-6.2073235761899452857712925910647413737413076976016178346028965931883407350691413512371443e-181']",5.48806174249998399199000171896964571230165079047812683211236366903362687621437999116348959,5.488061742499984,-14,False,0.006731303012703456,4.011110471337427,0.6032646231961994
25,11,blaschke_mu_0p3,alpha^9,alpha,9,1,0.020711912837890625,0.020711912837890624,0.020711912837890624,0.0,0.020711912837890624,0.020711912837890625,0.020711912837890624,['-7.26871745164031020720912407537012286402383828544018703642209463938008057187029780810690507e-181'],5.48806174249998399199000171896964571230165079047812683211236366903362687621437999116348959,5.488061742499984,-14,False,0.010590862004576913,1.9556399496981294,0.2912889004246055
25,11,blaschke_mu_0p3,alpha^10,alpha,10,1,0.01346274334462890625,0.013462743344628906,0.013462743344628906,0.0,0.013462743344628906,0.01346274334462890625,0.013462743344628906,['-1.68372946036325684120689507574413384754939787275072099716313318345328071111488515322243104e-180'],5.48806174249998399199000171896964571230165079047812683211236366903362687621437999116348959,5.488061742499984,-14,False,0.013409763460758346,1.0039508440268612,0.001712449173035994
25,11,blaschke_mu_0p3,alpha^11,alpha,11,1,0.0087507831740087890625,0.00875078317400879,0.00875078317400879,0.0,0.00875078317400879,0.103064058284445049882714658511028817533878311971337995214709401341438258602065897337815798,0.10306405828444505,['-0.0943132751104362608202146585110288175338783119713379952147094013414382586020658973378157977'],5.48806174249998399199000171896964571230165079047812683211236366903362687621437999116348959,5.488061742499984,-14,False,0.01343554943815535,7.670996914480883,0.8848518080589693
25,11,blaschke_mu_0p3,mu^4,mu,4,2,0.0081,0.0081,0.0081,0.0,0.0081,0.436392629791343826317032236741523528804335787770552226430275386772392666860340761139720782,0.4363926297913438,"['(-0.331684734540778017587164551075947078965287172823332143135081640809165916945877038915337957 - 0.273833638381514189811197014175649002432719505033485683230278943317117079711695087057315525j)', '(-0.331684734540778017587164551075947078965287172823332143135081640809165916945877038915337957 + 0.273833638381514189811197014175649002432719505033485683230278943317117079711695087057315525j)']",5.48806174249998399199000171896964571230165079047812683211236366903362687621437999116348959,5.488061742499984,-14,False,0.014763984254666167,29.557917582675667,1.4706738338428813
25,11,blaschke_mu_0p3,alpha^12,alpha,12,1,0.005688009063105712890625,0.005688009063105713,0.005688009063105713,0.0,0.005688009063105713,0.91757682421169494272854229886575712592966166568287628401709679304224911692745812691526098,0.917576824211695,['(0.923263409568148994173893224557218402127170246941680261983504617900056747638232260114181404 - 0.0016163905558807622428298711456763548287317482949095536268276574898360129376802231831495101j)'],5.48806174249998399199000171896964571230165079047812683211236366903362687621437999116348959,5.488061742499984,-14,False,0.014808333510893418,61.96354394211207,1.7921362488303667
25,11,blaschke_mu_0p3,alpha^13,alpha,13,1,0.00369720589101871337890625,0.0036972058910187135,0.0036972058910187135,0.0,0.0036972058910187135,0.919567624301551077868895887337261631795625960195877206621070667569719545615353852271710191,0.919567624301551,['(0.923263409568148994173893224557218402127170246941680261983504617900056747638232260114181404 + 0.0016163905558807622428298711456763548287317482949095536268276574898360129376802231831495101j)'],5.48806174249998399199000171896964571230165079047812683211236366903362687621437999116348959,5.488061742499984,-14,False,0.014009218779485716,65.64017871204298,1.8171697547934331
