N,M,map_name,name,family,power,multiplicity,target,target_float,target_real_float,target_imag_float,target_abs_float,error,error_float,selected,gram_error,gram_error_float,m,is_reference_M,reference_error_at_max_M,excess_ratio_to_max_M,log10_excess_ratio_to_max_M
6,32,blaschke_mu_0p3,mu^4,mu,4,2,0.0081,0.0081,0.0081,0.0,0.0081,nan,,[],1.76169496437321569137273060038496248850284839519446827833273698559925573744876532694933737e-179,1.7616949643732157e-179,26,False,,,
6,32,blaschke_mu_0p3,alpha^12,alpha,12,1,0.005688009063105712890625,0.005688009063105713,0.005688009063105713,0.0,0.005688009063105713,nan,,[],1.76169496437321569137273060038496248850284839519446827833273698559925573744876532694933737e-179,1.7616949643732157e-179,26,False,,,
6,32,blaschke_mu_0p3,alpha^13,alpha,13,1,0.00369720589101871337890625,0.0036972058910187135,0.0036972058910187135,0.0,0.0036972058910187135,nan,,[],1.76169496437321569137273060038496248850284839519446827833273698559925573744876532694933737e-179,1.7616949643732157e-179,26,False,,,
6,32,blaschke_mu_0p3,mu^5,mu,5,2,0.00243,0.00243,0.00243,0.0,0.00243,nan,,[],1.76169496437321569137273060038496248850284839519446827833273698559925573744876532694933737e-179,1.7616949643732157e-179,26,False,,,
6,32,blaschke_mu_0p3,alpha^14,alpha,14,1,0.0024031838291621636962890625,0.0024031838291621636,0.0024031838291621636,0.0,0.0024031838291621636,nan,,[],1.76169496437321569137273060038496248850284839519446827833273698559925573744876532694933737e-179,1.7616949643732157e-179,26,False,,,
6,32,blaschke_mu_0p3,alpha^15,alpha,15,1,0.001562069488955406402587890625,0.0015620694889554065,0.0015620694889554065,0.0,0.0015620694889554065,nan,,[],1.76169496437321569137273060038496248850284839519446827833273698559925573744876532694933737e-179,1.7616949643732157e-179,26,False,,,
6,32,blaschke_mu_0p3,alpha^16,alpha,16,1,0.00101534516782101416168212890625,0.0010153451678210142,0.0010153451678210142,0.0,0.0010153451678210142,nan,,[],1.76169496437321569137273060038496248850284839519446827833273698559925573744876532694933737e-179,1.7616949643732157e-179,26,False,,,
6,32,blaschke_mu_0p3,mu^6,mu,6,2,0.000729,0.000729,0.000729,0.0,0.000729,nan,,[],1.76169496437321569137273060038496248850284839519446827833273698559925573744876532694933737e-179,1.7616949643732157e-179,26,False,,,
6,32,blaschke_mu_0p3,alpha^17,alpha,17,1,0.0006599743590836592050933837890625,0.0006599743590836592,0.0006599743590836592,0.0,0.0006599743590836592,nan,,[],1.76169496437321569137273060038496248850284839519446827833273698559925573744876532694933737e-179,1.7616949643732157e-179,26,False,,,
6,32,blaschke_mu_0p3,alpha^18,alpha,18,1,0.000428983333404378483310699462890625,0.0004289833334043785,0.0004289833334043785,0.0,0.0004289833334043785,nan,,[],1.76169496437321569137273060038496248850284839519446827833273698559925573744876532694933737e-179,1.7616949643732157e-179,26,False,,,
