map_label,target_mode,N,M,map_name,name,family,power,multiplicity,target,target_float,target_real_float,target_imag_float,target_abs_float,error,error_float,selected,gram_error,gram_error_float
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,alpha^13,alpha,13,1,0.00369720589101871337890625,0.0036972058910187135,0.0036972058910187135,0.0,0.0036972058910187135,nan,,[],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,mu^5,mu,5,2,0.00243,0.00243,0.00243,0.0,0.00243,nan,,[],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,alpha^14,alpha,14,1,0.0024031838291621636962890625,0.0024031838291621636,0.0024031838291621636,0.0,0.0024031838291621636,nan,,[],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,alpha^15,alpha,15,1,0.001562069488955406402587890625,0.0015620694889554065,0.0015620694889554065,0.0,0.0015620694889554065,nan,,[],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,alpha^16,alpha,16,1,0.00101534516782101416168212890625,0.0010153451678210142,0.0010153451678210142,0.0,0.0010153451678210142,nan,,[],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,mu^6,mu,6,2,0.000729,0.000729,0.000729,0.0,0.000729,nan,,[],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,alpha^17,alpha,17,1,0.0006599743590836592050933837890625,0.0006599743590836592,0.0006599743590836592,0.0,0.0006599743590836592,nan,,[],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,20,20,blaschke_mu_0p3,alpha^18,alpha,18,1,0.000428983333404378483310699462890625,0.0004289833334043785,0.0004289833334043785,0.0,0.0004289833334043785,nan,,[],8.0314757334801923103678227715692411057743351121745827118136539398171143432398397302345444e-179,8.031475733480193e-179
blaschke_mu_0p3,exact,30,30,blaschke_mu_0p3,alpha^1,alpha,1,1,0.65,0.65,0.65,0.0,0.65,0.00000000000000000000467717071780367775072611995321537481303971677701904568555350600412595136066661307998962869,4.677170717803678e-21,['0.649999999999999999995322829282196322249273880046784625186960283222980954314446493995874049'],1.77436652171873881623401074375944909969734446012688714808256539603539568711992767128056817e-178,1.7743665217187388e-178
blaschke_mu_0p3,exact,30,30,blaschke_mu_0p3,alpha^2,alpha,2,1,0.4225,0.4225,0.4225,0.0,0.4225,0.00000000000000000791101803140097636330250331652220749651352967277566351063077072207593423820221579745664036,7.911018031400976e-18,['0.422499999999999992088981968599023636697496683477792503486470327224336489369229277924065762'],1.77436652171873881623401074375944909969734446012688714808256539603539568711992767128056817e-178,1.7743665217187388e-178
blaschke_mu_0p3,exact,30,30,blaschke_mu_0p3,mu^1,mu,1,2,0.3,0.3,0.3,0.0,0.3,0.0000000000000000000000459675402082475297884846418438633568587760215450461556764816207197264953258476762743452119,4.596754020824753e-23,"['0.299999999999999999999985906163300145410337652498393579224886114596391785383160846893578172', '0.300000000000000000000045967540208247529788484641843863356858776021545046155676481620719726']",1.77436652171873881623401074375944909969734446012688714808256539603539568711992767128056817e-178,1.7743665217187388e-178
blaschke_mu_0p3,exact,30,30,blaschke_mu_0p3,alpha^3,alpha,3,1,0.274625,0.274625,0.274625,0.0,0.274625,0.000000000000000419759831281045024273104711471248900024884736138834405101531417676637107900908246092575967,4.19759831281045e-16,['0.274624999999999580240168718954975726895288528751099975115263861165594898468582323362892099'],1.77436652171873881623401074375944909969734446012688714808256539603539568711992767128056817e-178,1.7743665217187388e-178
blaschke_mu_0p3,exact,30,30,blaschke_mu_0p3,alpha^4,alpha,4,1,0.17850625,0.17850625,0.17850625,0.0,0.17850625,0.0000000000000338270349876092272224602030733615411973924258595148312275617768672700006609082747314363718,3.3827034987609226e-14,['0.178506249999966172965012390772777539796926638458802607574140485168772438223132729999339092'],1.77436652171873881623401074375944909969734446012688714808256539603539568711992767128056817e-178,1.7743665217187388e-178
blaschke_mu_0p3,exact,30,30,blaschke_mu_0p3,alpha^5,alpha,5,1,0.1160290625,0.1160290625,0.1160290625,0.0,0.1160290625,0.000000000000577749742659955923648476077607732499640881030702543761186019460209097306578141269125496624,5.777497426599559e-13,['0.116029062499422250257340044076351523922392267500359118969297456238813980539790902693421859'],1.77436652171873881623401074375944909969734446012688714808256539603539568711992767128056817e-178,1.7743665217187388e-178
blaschke_mu_0p3,exact,30,30,blaschke_mu_0p3,mu^2,mu,2,2,0.09,0.09,0.09,0.0,0.09,0.0000000000311151081728024349669639921108266699378621372593294075687222542973585697495071467033973489,3.1115108172802436e-11,"['0.0900000000050470335048591062508311501555380441414574253106375915677084469704667862492042093', '0.0900000000311151081728024349669639921108266699378621372593294075687222542973585697495071467']",1.77436652171873881623401074375944909969734446012688714808256539603539568711992767128056817e-178,1.7743665217187388e-178
blaschke_mu_0p3,exact,30,30,blaschke_mu_0p3,alpha^6,alpha,6,1,0.075418890625,0.075418890625,0.075418890625,0.0,0.075418890625,0.000000000430183993458391279292154381629489385789100730551670931215904388198320375175468287142178391,4.3018399345839127e-10,['0.0754188901948160065416087207078456183705106142108992694483290687840956118016796248245317129'],1.77436652171873881623401074375944909969734446012688714808256539603539568711992767128056817e-178,1.7743665217187388e-178
blaschke_mu_0p3,exact,30,30,blaschke_mu_0p3,alpha^7,alpha,7,1,0.04902227890625,0.04902227890625,0.04902227890625,0.0,0.04902227890625,0.0000000160397189883252125777806635303490826946965798437026734869801339762156486138007961260950884,1.6039718988325212e-08,['0.0490222628665310116747874222193364696509173053034201562973265130198660237843513861992038739'],1.77436652171873881623401074375944909969734446012688714808256539603539568711992767128056817e-178,1.7743665217187388e-178
blaschke_mu_0p3,exact,30,30,blaschke_mu_0p3,alpha^8,alpha,8,1,0.0318644812890625,0.0318644812890625,0.0318644812890625,0.0,0.0318644812890625,0.000015226518186342852224225376765720940077645374024820289637132205819441241068708073362759024,1.5226518186342852e-05,['0.031879707807248842852224225376765720940077645374024820289637132205819441241068708073362759'],1.77436652171873881623401074375944909969734446012688714808256539603539568711992767128056817e-178,1.7743665217187388e-178
blaschke_mu_0p3,exact,30,30,blaschke_mu_0p3,mu^3,mu,3,2,0.027,0.027,0.027,0.0,0.027,0.0000796834815392556680542175016676155096138138568979329186918358560405683855622682445468741029,7.968348153925567e-05,"['0.0270190952251974649621733208575951315549752065987434084302517718378471327835675139468157644', '0.0269203165184607443319457824983323844903861861431020670813081641439594316144377317554531259']",1.77436652171873881623401074375944909969734446012688714808256539603539568711992767128056817e-178,1.7743665217187388e-178
blaschke_mu_0p3,exact,30,30,blaschke_mu_0p3,alpha^9,alpha,9,1,0.020711912837890625,0.020711912837890624,0.020711912837890624,0.0,0.020711912837890624,0.000219375929927870573616229370173956992516901843204162556465528609909272857365194630650107035,0.00021937592992787058,['0.020492536907962754426383770629826043007483098156795837443534471390090727142634805369349893'],1.77436652171873881623401074375944909969734446012688714808256539603539568711992767128056817e-178,1.7743665217187388e-178
blaschke_mu_0p3,exact,30,30,blaschke_mu_0p3,alpha^10,alpha,10,1,0.01346274334462890625,0.013462743344628906,0.013462743344628906,0.0,0.013462743344628906,0.00023703529233125164038611031049358419466134748673702069792791541757959803914561413442161928,0.00023703529233125165,['0.0136997786369601578903861103104935841946613474867370206979279154175795980391456141344216193'],1.77436652171873881623401074375944909969734446012688714808256539603539568711992767128056817e-178,1.7743665217187388e-178
blaschke_mu_0p3,exact,30,30,blaschke_mu_0p3,alpha^11,alpha,11,1,0.0087507831740087890625,0.00875078317400879,0.00875078317400879,0.0,0.00875078317400879,0.00617426626030623218710435278710928492475697702936082417972699264622677716320736361352386388,0.006174266260306233,['(0.00881315492506097141065575969125132603539206015288312367602446265419635897888919201966950376 - 0.0061739512160225715790113102505760968026631692411191650364062382383776853043722452440717574j)'],1.77436652171873881623401074375944909969734446012688714808256539603539568711992767128056817e-178,1.7743665217187388e-178
blaschke_mu_0p3,exact,30,30,blaschke_mu_0p3,mu^4,mu,4,2,0.0081,0.0081,0.0081,0.0,0.0081,0.00678188014129027157545208141361928055133496307947664525894202183311938054881830145504868807,0.006781880141290272,"['(0.00881315492506097141065575969125132603539206015288312367602446265419635897888919201966950376 + 0.0061739512160225715790113102505760968026631692411191650364062382383776853043722452440717574j)', '(0.0108412626167327746609061339962980551648688596873029349853639079894871430294595818598898737 - 0.00620317479335628063219584560955108263453061278458225405367320213008343806442459188609231157j)']",1.77436652171873881623401074375944909969734446012688714808256539603539568711992767128056817e-178,1.7743665217187388e-178
