name,mode,coefficient_present,coefficient_frobenius_upper,residual_frobenius_upper,coefficient_sha256,precision_bits
alpha^14,-13,True,0.019909867741861185,1.0149269020234363e-06,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,-12,True,0.0006229557467330089,3.693604578010102e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,-11,True,0.0743143681844891,4.115336723156827e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,-10,True,0.0006380360204692381,6.186895569615005e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,-9,True,0.012634380830144787,5.425114766550198e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,-8,True,0.0009830060970515801,3.317679979752768e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,-7,True,0.0016659664601424338,3.6552068446567823e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,-6,True,0.0008562228920956365,3.1313848953836576e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,-5,True,0.04255519536467205,6.377163518157861e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,-4,True,0.004248175935449725,3.9141301506503436e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,-3,True,427.5129439113681,3.4056221826390934e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,-2,True,45878010.19117474,3.5533834947448557e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,-1,True,4923614533081.54,1.4330836196996641e-06,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,0,True,860683637935.9774,4.4097250072320406e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,1,True,155073212469.32742,4.1041291130637315e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,2,True,27912543378.782543,3.878841975338877e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,3,True,5024269116.982441,4.696934325169432e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
alpha^14,4,True,904369924.906029,3.514352250582206e-07,f0bff6f69a412ef538dfb00e3009d943809262fc8d7aa409088274dd784969e5,256
