theta,branch,weighted_kernel,K_tail,phi_abs
0.46633015951723494,2,6.948405482569063e-22,1.0271444795031393e-21,0.6764779075607956
0.46633015951723494,0,6.948405482569063e-22,,
0.4724660826687775,1,4.392457970091358e-187,1.3204726593378703e-186,0.33264285625526585
0.4724660826687775,2,8.180225663192223e-22,1.2060398278896588e-21,0.6782716021498285
0.4724660826687775,0,8.180225663192223e-22,,
0.4786020058203201,1,1.228731026486162e-186,3.713539723035296e-186,0.33087865436426445
0.4786020058203201,2,9.614813170178567e-22,1.413791254490376e-21,0.6800730404605864
0.4786020058203201,0,9.614813170178567e-22,,
0.48473792897186263,1,3.391164505187072e-186,1.0304463425971161e-185,0.3290966608353473
0.48473792897186263,2,1.1280981680713233e-21,1.6543905405868962e-21,0.6818814181995563
0.48473792897186263,0,1.1280981680713233e-21,,
0.4908738521234052,1,9.234809269797225e-186,2.821533757620279e-185,0.3272974936009978
0.4908738521234052,2,1.3210465030050248e-21,1.9322135088310023e-21,0.6836959254074689
0.4908738521234052,0,1.3210465030050248e-21,,
0.4970097752749478,1,2.4816574865430596e-185,7.624566146747389e-185,0.3254817964431623
0.4970097752749478,2,1.5437923170093537e-21,2.252015831346427e-21,0.6855157479449675
0.4970097752749478,0,1.5437923170093537e-21,,
0.5031456984264904,1,6.581758222956145e-185,2.033602154266336e-184,0.32365023852616104
0.5031456984264904,2,1.8000864092017413e-21,2.618916734705736e-21,0.6873400690243788
0.5031456984264904,0,1.8000864092017413e-21,,
0.5092816215780329,1,1.7229909641805666e-184,5.354170759677317e-184,0.32180351384317957
0.5092816215780329,2,2.093946153159254e-21,3.0383679133373258e-21,0.6891680707815517
0.5092816215780329,0,2.093946153159254e-21,,
0.5154175447295755,1,4.452698709211276e-184,1.391719114508123e-183,0.3199423405767477
0.5154175447295755,2,2.4296247078637495e-21,3.516104847201924e-21,0.6909989358813396
0.5154175447295755,0,2.4296247078637495e-21,,
0.521553467881118,1,1.136120664618577e-183,3.57194874094343e-183,0.3180674603741661
0.521553467881118,2,2.8115654868484903e-21,4.058077714380554e-21,0.6928318491499521
0.521553467881118,0,2.8115654868484903e-21,,
0.5276893910326605,1,2.862538568039002e-183,9.053519671020421e-183,0.3161796375393931
0.5276893910326605,2,3.2443397603968642e-21,4.670359228761137e-21,0.6946659992271002
0.5276893910326605,0,3.2443397603968642e-21,,
0.5338253141842031,1,7.1231500116718896e-183,2.266500496325514e-182,0.3142796581434706
0.5338253141842031,2,3.732565451483919e-21,5.3590270524226505e-21,0.6965005802306113
0.5338253141842031,0,3.732565451483919e-21,,
0.5399612373357457,1,1.7508863199126725e-182,5.605197957178501e-182,0.3123683290561284
0.5399612373357457,2,4.2808055278130106e-21,6.1300189652753535e-21,0.6983347934259975
0.5399612373357457,0,4.2808055278130106e-21,,
0.5460971604872883,1,4.2519019394137336e-182,1.369608694499448e-181,0.3104464769017606
0.5460971604872883,2,4.893444914225557e-21,6.988959750094268e-21,0.7001678488933284
0.5460971604872883,0,4.893444914225557e-21,,
0.5522330836388308,1,1.0202937997153457e-181,3.307113025879293e-181,0.30851494694351145
0.5522330836388308,2,5.574545571117759e-21,7.940959790128923e-21,0.7019989671836955
0.5522330836388308,0,5.574545571117759e-21,,
0.5583690067903734,1,2.419714539776623e-181,7.892742989088262e-181,0.3065746018997305
0.5583690067903734,2,6.327680315903843e-21,8.990386687279984e-21,0.7038273809575443
0.5583690067903734,0,6.327680315903843e-21,,
0.5645049299419159,1,5.672608892628706e-181,1.8621532373299711e-180,0.30462632069755535
0.5645049299419159,2,7.155747104780148e-21,1.0140612782898774e-20,0.705652336597219
0.5645049299419159,0,7.155747104780148e-21,,
0.5706408530934586,1,1.3148220830732127e-180,4.344063671022046e-180,0.3026709971688488
0.5706408530934586,2,8.060766824417471e-21,1.1393743270844573e-20,0.7074730957861891
0.5706408530934586,0,8.060766824417471e-21,,
0.5767767762450011,1,3.013732995208674e-180,1.0022073155031948e-179,0.30070953869414924
0.5767767762450011,2,9.043669132721327e-21,1.27503315790672e-20,0.709288937047624
0.5767767762450011,0,9.043669132721327e-21,,
0.5829126993965437,1,6.832613446669903e-180,2.287121886987498e-179,0.2987428648006835
0.5829126993965437,2,1.0104072478573483e-20,1.420909077977008e-20,0.7110991572352371
0.5829126993965437,0,1.0104072478573483e-20,,
0.5890486225480862,1,1.5325203133777482e-179,5.163966951842582e-179,0.29677190572083767
0.5890486225480862,2,1.1240066044781837e-20,1.5766611859254042e-20,0.712903072969644
0.5890486225480862,0,1.1240066044781837e-20,,
0.5951845456996288,1,3.401403810785201e-179,1.1538098682607393e-178,0.2947976009177751
0.5951845456996288,2,1.2448002897146375e-20,1.7417101600292188e-20,0.714700022013855
0.5951845456996288,0,1.2448002897146375e-20,,
0.6013204688511714,1,7.472055587771206e-179,2.5517494309294456e-178,0.29282089758513613
0.6013204688511714,2,1.372231496777294e-20,1.915215444374306e-20,0.7164893645819554
0.6013204688511714,0,1.372231496777294e-20,,
0.607456392002714,1,1.6249923721288143e-178,5.587185436120341e-178,0.29084274912793745
0.607456392002714,2,1.5055361521031464e-20,2.096057382885361e-20,0.7182704845755115
0.607456392002714,0,1.5055361521031464e-20,,
0.6135923151542565,1,3.4993965879514925e-178,1.2114334812840541e-177,0.2888641136319198
0.6135923151542565,2,1.6437323308191393e-20,2.2828258986157484e-20,0.720042790742763
0.6135923151542565,0,1.6437323308191393e-20,,
0.619728238305799,1,7.463948654133173e-178,2.6017128386901078e-177,0.28688595232866165
0.619728238305799,2,1.785615457840322e-20,2.473817280626419e-20,0.7218057177562318
0.619728238305799,0,1.785615457840322e-20,,
0.6258641614573416,1,1.5771842932968803e-177,5.535743099706754e-177,0.2849092280637858
0.6258641614573416,2,1.92976043618104e-20,2.667040509117344e-20,0.7235587272049697
0.6258641614573416,0,1.92976043618104e-20,,
0.6320000846088842,1,3.302484314699713e-177,1.1672240754430531e-176,0.28293490377553776
0.6320000846088842,2,2.0745316887315594e-20,2.860234311484693e-20,0.7253013084982921
0.6320000846088842,0,2.0745316887315594e-20,,
0.6381360077604268,1,6.854112033821911e-177,2.4394988231047585e-176,0.28096394099090644
0.6381360077604268,2,2.2181018598260277e-20,3.050895794035283e-20,0.7270329796784845
0.6381360077604268,0,2.2181018598260277e-20,,
0.6442719309119693,1,1.4103360859900554e-176,5.055016999625325e-176,0.2789972983462941
0.6442719309119693,2,2.35847959947422e-20,3.236321040131125e-20,0.7287532881406172
0.6442719309119693,0,2.35847959947422e-20,,
0.6504078540635119,1,2.8778293800073764e-176,1.0387928304310542e-175,0.27703593013952565
0.6504078540635119,2,2.4935464538068064e-20,3.4136575182644133e-20,0.7304618112582618
0.6504078540635119,0,2.4935464538068064e-20,,
0.6565437772150544,1,5.824914042786845e-176,2.117528508756732e-175,0.27508078491971927
0.6565437772150544,2,2.621102424800207e-20,3.5799675248391905e-20,0.7321581569145506
0.6565437772150544,0,2.621102424800207e-20,,
0.662679700366597,1,1.1697903010736647e-175,4.2828627078952873e-175,0.2731328041212254
0.662679700366597,2,2.738919262576967e-20,3.732301227197036e-20,0.7338419639386662
0.662679700366597,0,2.738919262576967e-20,,
0.6688156235181396,1,2.3314885209782694e-175,8.597158489801348e-175,0.2711929207474855
0.6688156235181396,2,2.8448000427359986e-20,3.867777211339002e-20,0.73551290244847
0.6688156235181396,0,2.8448000427359986e-20,,
0.6749515466696822,1,4.6129499958954113e-175,1.713182328126735e-174,0.26926205811026566
0.6749515466696822,2,2.936643092554081e-20,3.983667820395948e-20,0.737170674100583
0.6749515466696822,0,2.936643092554081e-20,,
0.6810874698212247,1,9.062716715689817e-175,3.3899448102713965e-174,0.26734112862929654
0.6810874698212247,2,3.0125078997020693e-20,4.077486041503822e-20,0.7388150122498084
0.6810874698212247,0,3.0125078997020693e-20,,
0.6872233929727672,1,1.7684252203372188e-174,6.662465961004085e-174,0.26543103269689405
0.6872233929727672,2,3.070680301746605e-20,4.147070306856514e-20,0.7404456820203239
0.6872233929727672,0,3.070680301746605e-20,,
0.6933593161243098,1,3.428296851835482e-174,1.3009001931318033e-173,0.2635326576116618
0.6933593161243098,2,3.109734047705404e-20,4.190663360965883e-20,0.7420624802915828
0.6933593161243098,0,3.109734047705404e-20,,
0.6994952392758524,1,6.604631499052245e-174,2.524253904827145e-173,0.26164687658488595
0.6994952392758524,2,3.1285857717151906e-20,4.206981343132492e-20,0.7436652356023202
0.6994952392758524,0,3.1285857717151906e-20,,
0.705631162427395,1,1.2647723974478498e-173,4.868731013289755e-173,0.25977454782273035
0.705631162427395,2,3.126540541699861e-20,4.195269461539614e-20,0.7452538079764864
0.705631162427395,0,3.126540541699861e-20,,
0.7117670855789375,1,2.4081580484375533e-173,9.336967276789285e-173,0.25791651368683494
0.7117670855789375,2,3.103325449304816e-20,4.15534109705138e-20,0.7468280886753024
0.7117670855789375,0,3.103325449304816e-20,,
0.7179030087304801,1,4.5601755783895854e-173,1.7808066038590883e-172,0.25607359993541573
0.7179030087304801,2,3.0591091844200834e-20,4.087597856874736e-20,0.7483879998799573
0.7179030087304801,0,3.0591091844200834e-20,,
0.7240389318820226,1,8.590473846109514e-173,3.378795758810624e-172,0.2542466150464644
0.7240389318820226,2,2.9945061674385326e-20,3.993028968781725e-20,0.749933494309749
0.7240389318820226,0,2.9945061674385326e-20,,
0.7301748550335653,1,1.610298659815313e-172,6.37902846484992e-172,0.2524363496241584
0.7301748550335653,2,2.910564560786901e-20,3.873189416946358e-20,0.7514645547806966
0.7301748550335653,0,2.910564560786901e-20,,
0.7363107781851078,1,3.004442992859753e-172,1.1986914016056349e-171,0.2506435758891181
0.7363107781851078,2,2.808738302781282e-20,3.7301573083691614e-20,0.7529811937098365
0.7363107781851078,0,2.808738302781282e-20,,
0.7424467013366504,1,5.580894497600191e-172,2.242502456295238e-171,0.24886904725269274
0.7424467013366504,2,2.6908441479162377e-20,3.566472052830923e-20,0.754483452570546
0.7424467013366504,0,2.6908441479162377e-20,,
0.7485826244881929,1,1.0323800196377955e-171,4.177756488810348e-171,0.24711349797502788
0.7485826244881929,2,2.5590055009528607e-20,3.385055964468536e-20,0.7559714013043304
0.7485826244881929,0,2.5590055009528607e-20,,
0.7547185476397354,1,1.9023236328495418e-171,7.752636345831571e-171,0.24537764290625874
0.7547185476397354,2,2.4155855411616038e-20,3.1891227772799044e-20,0.7574451376945502
0.7547185476397354,0,2.4155855411616038e-20,,
0.7608544707912781,1,3.4926153938881894e-171,1.4333842997091752e-170,0.24366217730979886
0.7608544707912781,2,2.2631126971416443e-20,2.9820772470811684e-20,0.7589047867075742
0.7608544707912781,0,2.2631126971416443e-20,,
0.7669903939428206,1,6.39073106250824e-171,2.641149638978321e-170,0.2419677767663469
0.7669903939428206,2,2.104201911525739e-20,2.7674104403960987e-20,0.7603504998068031
0.7669903939428206,0,2.104201911525739e-20,,
0.7731263170943632,1,1.1657217748547294e-170,4.8512091534413365e-170,0.24029509715692077
