map_label,target_mode,N,M,map_name,eig_index,eig,eig_re,eig_im,eig_abs,gram_error,gram_error_float
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,13,0.0134627433446289062499999999999942083103507172215362002385532719705255338888272837461758654,0.013462743344628906,2.768981878259801e-183,0.013462743344628906,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,14,0.0490222789062500000000000000000000000198388883105289066707760907717885288395143595902299493,0.04902227890625,4.136361139419988e-183,0.04902227890625,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,15,0.0269999999999999999999999999999999999999999999999994679588462634289014978952087513554669418,0.027,-6.847346120062919e-183,0.027,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,16,0.00568800906310571289062499999139669595575052913048869138744697767615819489301023128954169495,0.005688009063105713,1.8241774975315901e-183,0.005688009063105713,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,17,0.00810000000000000000000000000000000001838894386059483808390115729194433277150876807985373238,0.0081,-9.212177046407369e-184,0.0081,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,18,0.0207119128378906250000000000000000190691079203271858114966442137725388698848506504963223771,0.020711912837890624,-2.9876974321035113e-182,0.020711912837890624,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,19,0.00240318382916216369628905623037175314410093700372416505347630250144409449767664211299981345,0.0024031838291621636,-1.6434071398673508e-184,0.0024031838291621636,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,20,0.00810000000000000000000000000000000001029870172651966639755461938769742793763841116195308905,0.0081,3.927141769935188e-183,0.0081,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,21,0.0087507831740087890624999999999305104461860423941855513914716172046480652567942851933641502,0.00875078317400879,-2.481697394032039e-182,0.00875078317400879,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,22,0.0024300000000000000000000025089122702328609511603151005037112996514147107574775468377764301,0.00243,-1.2902524482242486e-181,0.00243,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,23,0.00101534516782101416174369669056168237876701780343976277189763803727515627892927141696687955,0.0010153451678210142,7.137974992025245e-183,0.0010153451678210142,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,24,0.00369720589101871337890624991147673305842395620224419117270065143371840066651181763987523398,0.0036972058910187135,-3.313998132633112e-182,0.0036972058910187135,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,25,0.000728999999999999993249639722032733832680842154280267483848467197236865518407761129153318762,0.000729,-1.6610172528080525e-181,0.000729,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
blaschke_mu_0p3,exact,80,80,blaschke_mu_0p3,26,0.00243000000000000000000000002114608475395489956195453709374279306566115415342358754574774872,0.00243,-1.6102151248700972e-181,0.00243,2.14911075601700673054485035186971460047985568690515255534096219453229328005062670634943448e-177,2.149110756017007e-177
