N,M,m,name,error,source
40,40,0,alpha^17,0.0016485067584393,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
50,50,0,alpha^17,0.0005079388095998,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
60,60,0,alpha^17,2.859943262874685e-07,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
70,70,0,alpha^17,2.052615469140417e-13,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
80,80,0,alpha^17,1.7336039421119556e-20,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
90,90,0,alpha^17,2.5610210476500797e-28,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
100,100,0,alpha^17,2.8120345274642987e-34,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
30,30,0,alpha^18,0.9995710166665956,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
40,40,0,alpha^18,0.0015050389264379,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
50,50,0,alpha^18,0.000481842630604,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
60,60,0,alpha^18,6.895802075482304e-06,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
70,70,0,alpha^18,1.7393246395782588e-11,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
80,80,0,alpha^18,4.1284035434764866e-18,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
90,90,0,alpha^18,1.5231466963316143e-25,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
100,100,0,alpha^18,2.2878567574163616e-32,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
10,10,0,alpha^2,4.459883547072277e-05,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
20,20,0,alpha^2,9.9628592130339e-12,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
30,30,0,alpha^2,7.911018031400976e-18,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
40,40,0,alpha^2,3.2674524322994723e-24,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
50,50,0,alpha^2,8.071095602008246e-31,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
60,60,0,alpha^2,4.604176953180369e-38,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
70,70,0,alpha^2,7.256129550889845e-44,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
80,80,0,alpha^2,4.7677061321843535e-50,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
90,90,0,alpha^2,1.943120173837412e-56,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
100,100,0,alpha^2,6.015873376087107e-63,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
10,10,0,alpha^3,0.012331137168477,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
20,20,0,alpha^3,2.3368448619916687e-10,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
30,30,0,alpha^3,4.19759831281045e-16,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
40,40,0,alpha^3,3.352382655136637e-22,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
50,50,0,alpha^3,1.475459545165892e-28,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
60,60,0,alpha^3,2.8615490232800607e-35,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
70,70,0,alpha^3,1.1897655676223954e-41,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
80,80,0,alpha^3,1.4753626328676387e-47,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
90,90,0,alpha^3,8.514486749598256e-54,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
100,100,0,alpha^3,3.5253083476625047e-60,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
10,10,0,alpha^4,0.0659553656427027,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
20,20,0,alpha^4,6.815352641048228e-08,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
30,30,0,alpha^4,3.3827034987609226e-14,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
40,40,0,alpha^4,2.302770825522668e-20,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
50,50,0,alpha^4,1.1803134490814516e-26,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
60,60,0,alpha^4,3.393862283294902e-32,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
70,70,0,alpha^4,3.248628001075647e-38,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
80,80,0,alpha^4,2.0137940872904853e-44,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
90,90,0,alpha^4,8.9205281334807e-51,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
100,100,0,alpha^4,2.6302214091857465e-57,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
10,10,0,alpha^5,0.0806501420561081,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
20,20,0,alpha^5,9.797343283967356e-06,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
30,30,0,alpha^5,5.777497426599559e-13,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
40,40,0,alpha^5,8.649354351633234e-19,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
50,50,0,alpha^5,8.262578964353456e-26,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
60,60,0,alpha^5,1.3296192467835614e-30,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
70,70,0,alpha^5,2.0789531933114426e-36,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
80,80,0,alpha^5,1.8385140502197338e-42,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
90,90,0,alpha^5,1.1194651916545716e-48,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
100,100,0,alpha^5,4.679175101643343e-55,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
10,10,0,alpha^6,0.924581109375,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
20,20,0,alpha^6,0.002845166911015,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
30,30,0,alpha^6,4.3018399345839127e-10,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
40,40,0,alpha^6,8.056923072703488e-17,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
50,50,0,alpha^6,2.8218450191913265e-22,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
60,60,0,alpha^6,5.2391988670827205e-28,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
70,70,0,alpha^6,5.927433865723468e-34,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
80,80,0,alpha^6,4.186457299080987e-40,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
90,90,0,alpha^6,1.4449109659281028e-46,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
100,100,0,alpha^6,6.1012011763783515e-53,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
20,20,0,alpha^7,0.0068770426291035,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
30,30,0,alpha^7,1.6039718988325212e-08,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
40,40,0,alpha^7,7.862774645875935e-16,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
50,50,0,alpha^7,3.894856399477832e-21,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
60,60,0,alpha^7,1.1563836218222335e-26,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
70,70,0,alpha^7,1.9411326166458226e-32,outputs/blaschke_deformation_certifier/data/raw_spectrum_square_N_sweep.csv
